native,romanization,english,part_of_speech,notes
καλημέρα,kalimera,good morning,interjection,greeting before noon
ευχαριστώ,efcharisto,thank you,interjection,everyday courtesy
παρακαλώ,parakalo,please / you're welcome,interjection,doubles as response to thanks
ναι,nai,yes,particle,confusingly resembles English no
όχι,ochi,no,particle,common confusion with English yes
νερό,nero,water,noun,neuter
καφές,kafes,coffee,noun,masculine; central to Greek culture
φαγητό,fagito,food,noun,neuter
σπίτι,spiti,house,noun,neuter
φίλος,filos,friend,noun,masculine (φίλη for feminine)
αγάπη,agapi,love,noun,feminine
καλά,kala,good / well,adverb,often used as a casual okay
μεγάλος,megalos,big,adjective,masculine; root of mega
μικρός,mikros,small,adjective,masculine; root of micro
βιβλίο,vivlio,book,noun,neuter; root of Bible
δρόμος,dromos,street / road,noun,masculine; root of hippodrome
αυτοκίνητο,aftokinito,car,noun,neuter; literally self-moving
ήλιος,ilios,sun,noun,masculine; root of helium
θάλασσα,thalassa,sea,noun,feminine
χρόνος,chronos,time / year,noun,masculine; root of chronology
